search URL:;
id;grant date
US-11874735-B2;16/01/24
US-11049588-B2;29/06/21
JP-7545535-B2;04/09/24
US-10984152-B2;20/04/21
AU-2022252718-B2;08/08/24
US-12182662-B2;31/12/24
US-10068183-B1;04/09/18
AU-2022218629-B2;04/04/24
US-12009063-B2;11/06/24
US-11971963-B2;30/04/24
US-12118719-B2;15/10/24
CN-107180013-B;09/02/21
US-12001923-B2;04/06/24
US-10847248-B2;24/11/20
CN-107392930-B;01/09/20
US-10748650-B1;18/08/20
US-10320360-B2;11/06/19
CN-114581454-B;06/08/24
US-11551133-B2;10/01/23
CN-110738321-B;29/04/22
US-11967436-B2;23/04/24
US-11769071-B2;26/09/23
US-11829843-B2;28/11/23
US-11869664-B2;09/01/24
US-11983720-B2;14/05/24
US-11561951-B2;24/01/23
JP-7502269-B2;18/06/24
US-12182661-B2;31/12/24
US-12050965-B2;30/07/24
US-11284849-B2;29/03/22
US-11657196-B2;23/05/23
US-10970887-B2;06/04/21
US-10740689-B2;11/08/20
US-10699208-B2;30/06/20
CN-112927152-B;02/02/24
US-10417370-B2;17/09/19
US-11526707-B2;13/12/22
US-10922617-B2;16/02/21
JP-6941353-B2;29/09/21
US-11896407-B2;13/02/24
US-11957470-B2;16/04/24
US-11194946-B2;07/12/21
US-11270221-B2;08/03/22
JP-7182015-B2;01/12/22
US-11894107-B2;06/02/24
US-11520913-B2;06/12/22
JP-6916107-B2;11/08/21
US-11699004-B2;11/07/23
US-11099765-B2;24/08/21
US-11694105-B2;04/07/23
EP-3105718-B1;13/05/20
JP-7394413-B2;08/12/23
US-10467543-B2;05/11/19
US-10614597-B2;07/04/20
CN-113077001-B;01/04/22
CN-104025100-B;27/04/18
JP-7562508-B2;07/10/24
US-11809964-B1;07/11/23
US-11593697-B2;28/02/23
CN-113795888-B;14/05/24
JP-7481075-B2;10/05/24
US-10755193-B2;25/08/20
US-11521104-B2;06/12/22
CN-115310618-B;19/07/24
JP-7394133-B2;07/12/23
US-12131319-B2;29/10/24
US-11734596-B2;22/08/23
CN-107204008-B;04/09/20
CN-104424354-B;12/09/17
US-11836470-B2;05/12/23
US-10600217-B2;24/03/20
CN-109063843-B;13/10/20
US-11940834-B1;26/03/24
CN-110073373-B;17/10/23
US-10423887-B2;24/09/19
US-11651837-B2;16/05/23
US-10048864-B2;14/08/18
US-10185824-B2;22/01/19
CN-113792881-B;05/04/22
US-11031119-B2;08/06/21
US-11321625-B2;03/05/22
JP-7562509-B2;07/10/24
US-11398894-B2;26/07/22
AU-2021249420-B2;29/02/24
US-10169170-B2;01/01/19
CN-112990472-B;22/03/22
EP-2245571-B1;10/04/19
AU-2019257544-B2;04/11/21
US-11874838-B2;16/01/24
JP-7044449-B2;30/03/22
US-11455207-B2;27/09/22
US-12093784-B2;17/09/24
US-10388020-B2;20/08/19
US-11960972-B1;16/04/24
JP-7297540-B2;26/06/23
US-12086685-B2;10/09/24
CN-114241654-B;05/12/23
US-9633313-B2;25/04/17
US-11954418-B2;09/04/24
US-11768636-B2;26/09/23
CN-109800883-B;04/12/20
US-9256834-B2;09/02/16
CN-114429218-B;19/07/24
KR-101878217-B1;13/07/18
KR-102619861-B1;04/01/24
AU-2022201682-B2;07/12/23
JP-7335330-B2;29/08/23
US-11875180-B2;16/01/24
US-10990677-B2;27/04/21
AU-2022246038-B2;15/08/24
US-11477015-B1;18/10/22
US-12147872-B2;19/11/24
US-11394742-B2;19/07/22
US-11550977-B2;10/01/23
US-11295207-B2;05/04/22
EP-4036816-B1;23/10/24
JP-7303203-B2;04/07/23
US-10324719-B2;18/06/19
US-11410069-B2;09/08/22
CN-114897173-B;30/05/23
CN-109002894-B;08/10/21
US-11164099-B2;02/11/21
US-11443164-B2;13/09/22
US-12097032-B2;24/09/24
CN-114492823-B;19/07/24
US-11403290-B1;02/08/22
CN-114548413-B;01/11/24
US-11790492-B1;17/10/23
JP-7048065-B2;05/04/22
US-11903714-B2;20/02/24
US-11475189-B2;18/10/22
US-11004008-B2;11/05/21
US-12067720-B2;20/08/24
JP-7474242-B2;24/04/24
US-11412978-B2;16/08/22
US-11809960-B2;07/11/23
US-11734387-B2;22/08/23
US-9002682-B2;07/04/15
US-9269052-B2;23/02/16
US-9514415-B2;06/12/16
US-8938595-B2;20/01/15
US-11205030-B2;21/12/21
TW-I804292-B;01/06/23
US-10831455-B2;10/11/20
US-11977113-B1;07/05/24
US-12174697-B2;24/12/24
US-9558570-B2;31/01/17
CN-114841352-B;10/03/23
US-11715026-B2;01/08/23
CN-112668722-B;14/09/21
US-10484479-B2;19/11/19
US-11934260-B2;19/03/24
US-11947506-B2;02/04/24
US-10956126-B2;23/03/21
CN-117238458-B;05/04/24
US-11941490-B2;26/03/24
CN-113065659-B;11/01/22
CN-111709531-B;30/06/23
US-9730660-B2;15/08/17
US-11468357-B2;11/10/22
US-11735291-B2;22/08/23
US-12008436-B2;11/06/24
US-11469778-B2;11/10/22
US-9052889-B2;09/06/15
CN-115691654-B;19/05/23
US-10297022-B2;21/05/19
CN-112633511-B;30/11/21
JP-7471736-B2;22/04/24
US-11010145-B1;18/05/21
JP-7495124-B2;04/06/24
US-11057421-B2;06/07/21
EP-3948689-B1;14/08/24
US-9361187-B2;07/06/16
US-11164316-B2;02/11/21
US-11379220-B2;05/07/22
CN-114241653-B;19/11/24
US-12020118-B2;25/06/24
US-11868776-B2;09/01/24
US-11816400-B2;14/11/23
EP-3392808-B1;27/09/23
US-9852492-B2;26/12/17
CN-111369003-B;25/04/23
US-10438690-B2;08/10/19
CN-108960435-B;19/06/20
JP-7354253-B2;02/10/23
US-11341303-B2;24/05/22
US-12100146-B2;24/09/24
CN-110516810-B;12/08/22
CN-115577791-B;23/07/24
JP-7331303-B2;23/08/23
CN-111291892-B;17/01/23
CN-111598249-B;07/09/21
US-12067075-B1;20/08/24
US-10275423-B2;30/04/19
JP-7186891-B2;09/12/22
US-9477796-B2;25/10/16
CN-117437494-B;16/04/24
US-11799486-B2;24/10/23
CN-110162536-B;16/07/21
JP-7005795-B2;24/01/22
US-9646074-B2;09/05/17
US-11943244-B2;26/03/24
US-12182424-B2;31/12/24
US-12177197-B1;24/12/24
JP-7362666-B2;17/10/23
US-11436023-B2;06/09/22
EP-3313290-B1;16/03/22
EP-3129923-B1;27/10/21
CN-111242306-B;20/07/21
JP-6650453-B2;19/02/20
CN-104714893-B;22/05/18
JP-7555181-B2;24/09/24
US-11405056-B2;02/08/22
US-10044374-B2;07/08/18
CN-113160084-B;01/07/22
US-11494532-B2;08/11/22
US-11902430-B2;13/02/24
US-11782992-B2;10/10/23
CN-105556507-B;19/05/20
US-11797872-B2;24/10/23
CN-114091363-B;08/08/23
US-11250341-B2;15/02/22
CN-113807525-B;27/05/22
CN-111563186-B;24/09/21
CN-107025206-B;19/06/20
US-11798657-B2;24/10/23
US-10846366-B1;24/11/20
US-11216465-B2;04/01/22
CN-113723584-B;26/05/23
US-10885458-B2;05/01/21
US-11995557-B2;28/05/24
AU-2022203778-B2;09/11/23
JP-7446622-B2;11/03/24
US-11823012-B2;21/11/23
EP-4120138-B1;27/03/24
US-11909451-B2;20/02/24
US-11698837-B2;11/07/23
US-10902085-B2;26/01/21
EP-2671182-B1;21/11/18
US-9613442-B2;04/04/17
CN-114021730-B;30/07/24
US-11321627-B1;03/05/22
US-8972237-B2;03/03/15
US-11762781-B2;19/09/23
US-10803395-B2;13/10/20
US-11995515-B2;28/05/24
US-9244654-B2;26/01/16
JP-7232902-B2;03/03/23
US-11567810-B1;31/01/23
US-11734097-B1;22/08/23
US-11562278-B2;24/01/23
US-11861457-B2;02/01/24
US-11948083-B2;02/04/24
KR-101818022-B1;21/02/18
US-12056572-B2;06/08/24
US-11829753-B1;28/11/23
JP-6723439-B2;15/07/20
CN-111599414-B;06/05/22
AU-2022200187-B2;13/04/23
CN-106683041-B;07/03/23
US-11714728-B2;01/08/23
US-11244231-B2;08/02/22
US-11551131-B2;10/01/23
US-11651232-B2;16/05/23
CA-2902015-C;16/01/18
US-12056577-B1;06/08/24
US-11848106-B1;19/12/23
US-11436398-B2;06/09/22
CN-115587630-B;12/07/24
CN-113255922-B;11/03/22
US-10268843-B2;23/04/19
CN-109754078-B;28/05/24
US-11036830-B2;15/06/21
